,Ticker,Entry Type,Entry Time,Entry Price,Stop Loss,Exit Time,Exit Price,Exit Type
0,BANKNIFTY21JAN31300CE,Long,2021-01-01 13:07:00,900.0,31261.107600000003,2021-01-01 13:32:00,888.25,New Trade
1,BANKNIFTY21JAN31200PE,Short,2021-01-01 13:32:00,799.9,31314.6834,2021-01-01 14:11:00,792.15,SL
2,BANKNIFTY21JAN31400CE,Long,2021-01-01 14:32:00,834.45,31270.698,2021-01-01 14:49:00,830.2,SL
3,BANKNIFTY21JAN31200PE,Short,2021-01-01 15:10:00,814.85,31485.15,2021-01-04 09:30:00,672.0,New Trade
4,BANKNIFTY21JAN31300CE,Long,2021-01-04 09:30:00,864.0,31291.50350000001,2021-01-04 10:48:00,890.65,SL
5,BANKNIFTY21JAN31000PE,Short,2021-01-04 11:05:00,873.55,31341.566249999996,2021-01-04 13:49:00,679.15,New Trade
6,BANKNIFTY21JAN31100CE,Long,2021-01-04 13:49:00,852.35,31182.27699999996,2021-01-04 14:00:00,897.4,SL
7,BANKNIFTY21JAN31100PE,Short,2021-01-04 14:27:00,801.6,31154.42224999999,2021-01-04 14:39:00,771.6,SL
8,BANKNIFTY21JAN31200CE,Long,2021-01-04 15:14:00,886.55,30955.45,2021-01-05 09:21:00,768.2,SL
9,BANKNIFTY21JAN30900PE,Short,2021-01-05 09:24:00,761.05,31164.368000000002,2021-01-05 09:37:00,695.95,SL
10,BANKNIFTY21JAN31300CE,Long,2021-01-05 11:00:00,819.0,31141.070250000037,2021-01-06 13:56:00,1137.0,New Trade
11,BANKNIFTY21JAN31200PE,Short,2021-01-06 13:56:00,770.95,32129.8,2021-01-07 09:20:00,405.6,SL
12,BANKNIFTY21JAN32200CE,Long,2021-01-07 09:21:00,785.55,31838.70349999998,2021-01-07 14:18:00,784.5,New Trade
13,BANKNIFTY21JAN32100PE,Short,2021-01-07 14:18:00,701.6,32128.54645,2021-01-07 14:30:00,730.0,SL
14,BANKNIFTY21JAN32200CE,Long,2021-01-07 14:35:00,782.0,32069.298600000002,2021-01-07 14:40:00,763.0,SL
15,BANKNIFTY21JAN32000PE,Short,2021-01-07 14:49:00,708.15,32298.05,2021-01-08 09:51:00,663.25,New Trade
16,BANKNIFTY21JAN32100CE,Long,2021-01-08 09:51:00,755.55,32085.77899999999,2021-01-08 12:33:00,815.1,New Trade
17,BANKNIFTY21JAN32000PE,Short,2021-01-08 12:33:00,702.0,32161.6295,2021-01-08 12:38:00,644.3,SL
18,BANKNIFTY21JAN32100CE,Long,2021-01-11 09:50:00,785.15,32055.912,2021-01-11 10:08:00,791.8,SL
19,BANKNIFTY21JAN31900PE,Short,2021-01-11 10:21:00,753.8,32094.87875000001,2021-01-11 12:44:00,664.35,New Trade
20,BANKNIFTY21JAN32000CE,Long,2021-01-11 12:44:00,775.0,31983.962499999994,2021-01-11 12:51:00,790.15,SL
21,BANKNIFTY21JAN31900PE,Short,2021-01-11 14:45:00,660.0,32030.398400000002,2021-01-11 15:13:00,669.85,New Trade
22,BANKNIFTY21JAN32000CE,Long,2021-01-11 15:13:00,799.3,31757.85,2021-01-12 09:16:00,664.05,SL
23,BANKNIFTY21JAN32000CE,Long,2021-01-12 11:51:00,769.85,31893.994999999984,2021-01-13 11:45:00,1040.6,New Trade
24,BANKNIFTY21JAN31900PE,Short,2021-01-13 11:45:00,692.8,32492.815249999996,2021-01-13 12:26:00,484.0,SL
25,BANKNIFTY21JAN32600CE,Long,2021-01-13 14:55:00,800.0,32413.945499999994,2021-01-14 13:19:00,745.3,New Trade
26,BANKNIFTY21JAN32500PE,Short,2021-01-14 13:19:00,598.85,32611.9794,2021-01-15 12:38:00,697.9,New Trade
27,BANKNIFTY21JAN32600CE,Long,2021-01-15 12:38:00,673.35,32274.421000000002,2021-01-15 13:15:00,536.75,SL
28,BANKNIFTY21JAN32000PE,Short,2021-01-15 14:18:00,612.6,32273.65024999997,2021-01-15 15:21:00,501.25,SL
29,BANKNIFTY21JAN32400CE,Long,2021-01-18 09:42:00,625.0,32279.507250000002,2021-01-18 09:55:00,595.9,SL
30,BANKNIFTY21JAN32100PE,Short,2021-01-18 10:35:00,586.0,32255.475499999993,2021-01-18 10:48:00,559.5,SL
31,BANKNIFTY21JAN32100CE,Long,2021-01-18 14:08:00,634.35,31997.68199999998,2021-01-18 14:32:00,580.75,SL
32,BANKNIFTY21JAN31800PE,Short,2021-01-18 15:12:00,570.3,32082.9,2021-01-19 09:30:00,456.0,SL
33,BANKNIFTY21JAN32000CE,Long,2021-01-19 10:02:00,602.05,31963.001750000018,2021-01-20 12:40:00,769.0,New Trade
34,BANKNIFTY21JAN31900PE,Short,2021-01-20 12:40:00,399.45,32492.15049999999,2021-01-20 12:54:00,205.0,SL
35,BANKNIFTY21JAN32600CE,Long,2021-01-20 14:23:00,428.25,32503.145250000038,2021-01-20 15:21:00,400.05,SL
36,BANKNIFTY21JAN32600PE,Short,2021-01-21 14:09:00,330.8,32744.826,2021-01-25 09:36:00,1176.05,New Trade
37,BANKNIFTY21JAN32700CE,Long,2021-01-25 09:36:00,355.55,31323.186,2021-01-25 09:40:00,30.15,SL
38,BANKNIFTY21JAN31400PE,Short,2021-01-25 12:13:00,337.9,31474.1427,2021-01-25 12:27:00,325.45,SL
39,BANKNIFTY21JAN31600CE,Long,2021-01-25 13:14:00,303.2,31454.65,2021-01-25 13:45:00,242.4,SL
40,BANKNIFTY21JAN31200PE,Short,2021-01-25 14:08:00,317.05,31493.001000000015,2021-01-28 12:18:00,1136.45,New Trade
41,BANKNIFTY21JAN31300CE,Long,2021-01-28 12:18:00,123.45,29996.478499999983,2021-01-28 12:27:00,2.35,SL
42,BANKNIFTY21JAN29800PE,Short,2021-01-28 12:47:00,121.9,29973.31074999999,2021-01-28 13:26:00,56.4,SL
43,BANKNIFTY21JAN30000CE,Long,2021-01-28 13:56:00,72.9,29951.168850000002,2021-01-28 13:57:00,74.85,SL
44,BANKNIFTY21FEB30400PE,Short,2021-01-29 12:06:00,1076.8,30466.785999999986,2021-01-29 12:08:00,1057.65,SL
45,BANKNIFTY21FEB30600CE,Long,2021-01-29 12:38:00,1095.2,30483.091999999982,2021-01-29 13:05:00,1080.75,SL
46,BANKNIFTY21FEB33700PE,Short,2021-02-02 12:02:00,879.2,33933.67449999999,2021-02-02 12:09:00,791.95,SL
47,BANKNIFTY21FEB34100CE,Long,2021-02-02 13:25:00,1032.0,34008.21649999998,2021-02-02 13:56:00,1000.0,SL
48,BANKNIFTY21FEB34400PE,Short,2021-02-04 09:20:00,790.95,34737.67675,2021-02-04 11:40:00,685.05,New Trade
49,BANKNIFTY21FEB34500CE,Long,2021-02-04 11:40:00,888.55,34509.41324999999,2021-02-05 12:22:00,2064.5,New Trade
50,BANKNIFTY21FEB34400PE,Short,2021-02-05 12:22:00,1028.95,36157.82575000001,2021-02-08 09:19:00,396.45,SL
51,BANKNIFTY21FEB36500CE,Long,2021-02-08 09:27:00,977.55,35824.95474999999,2021-02-08 12:07:00,808.9,New Trade
52,BANKNIFTY21FEB36400PE,Short,2021-02-08 12:07:00,982.85,36202.207749999994,2021-02-08 13:58:00,1042.15,SL
53,BANKNIFTY21FEB36100CE,Long,2021-02-08 14:29:00,944.0,36042.8211,2021-02-08 14:31:00,915.6,SL
54,BANKNIFTY21FEB35900PE,Short,2021-02-08 14:54:00,927.4,36084.228000000025,2021-02-09 10:30:00,793.7,SL
55,BANKNIFTY21FEB36200CE,Long,2021-02-09 10:52:00,917.0,35965.368500000004,2021-02-09 14:55:00,900.35,New Trade
56,BANKNIFTY21FEB36100PE,Short,2021-02-09 14:55:00,879.0,36318.044,2021-02-10 12:01:00,851.85,New Trade
57,BANKNIFTY21FEB36200CE,Long,2021-02-10 12:01:00,863.75,35941.05124999999,2021-02-10 12:02:00,735.0,SL
58,BANKNIFTY21FEB35800PE,Short,2021-02-10 13:05:00,806.1,35899.680499999995,2021-02-10 13:10:00,777.65,New Trade
59,BANKNIFTY21FEB35900CE,Long,2021-02-10 13:10:00,862.35,35831.68245,2021-02-10 13:14:00,836.9,SL
60,BANKNIFTY21FEB35800PE,Short,2021-02-10 13:17:00,805.0,35891.16849999999,2021-02-10 15:21:00,728.0,SL
